q1,q2,q3,q4,q5,q6,q7,q12,q13,q15,q18,q24
3,1,1,,C,1.65,81.65,1,1,1,2,2
4,2,1,2,E,,,1,1,1,2,1
5,2,3,2,E,1.68,74.84,1,1,1,2,2
6,1,2,2,E,,,1,1,1,2,2
3,2,1,2,E,1.85,56.7,1,1,1,2,2
5,2,1,2,E,1.8,72.58,1,1,2,1,2
6,2,3,2,E,1.83,74.84,1,5,1,2,2
4,1,1,2,E,1.52,73.48,1,1,1,2,2
4,2,1,2,BC,1.65,61.24,1,1,1,2,2
6,1,3,2,C,1.63,53.07,1,1,1,2,2
5,2,2,2,E,1.7,63.5,1,1,1,2,2
4,1,1,2,C,1.57,72.12,1,1,1,2,2
4,2,1,1,A,1.68,65.77,1,1,1,1,2
7,1,3,2,C,1.63,136.08,1,1,1,2,2
4,2,2,2,C,1.75,73.94,1,1,1,2,2
3,1,1,2,E,1.68,97.52,1,1,1,1,1
4,2,1,2,E,1.88,122.47,3,5,1,2,
7,2,3,2,E,1.93,68.04,2,1,1,1,2
5,1,3,2,E,1.65,49.9,5,3,1,2,1
5,1,1,2,E,1.52,52.16,1,1,2,2,1
5,2,3,2,C,,,1,1,1,2,2
5,2,2,,C,1.9,131.54,4,1,1,2,1
7,2,4,1,,1.73,95.26,1,1,1,2,1
5,1,3,2,C,1.8,83.01,1,1,1,2,2
6,1,3,2,C,1.63,59.88,1,1,1,2,2
5,1,2,2,C,1.65,68.04,1,1,1,2,1
6,1,4,2,E,1.6,47.17,1,1,2,2,1
6,1,3,2,E,1.75,74.84,1,1,1,1,2
5,2,2,2,C,1.83,83.92,1,1,1,2,2
7,1,4,2,E,1.78,74.84,1,1,1,2,2
6,2,3,2,E,1.75,63.5,1,1,1,2,2
5,1,3,2,C,1.6,70.31,1,1,1,2,2
5,2,2,2,C,1.78,79.38,1,1,2,1,2
7,2,4,2,C,1.85,63.5,5,5,1,1,2
6,1,3,2,C,1.65,62.6,1,1,1,1,2
4,2,2,2,C,1.9,69.85,1,1,1,2,1
6,1,4,2,E,1.63,53.07,1,1,1,1,2
7,2,3,2,C,1.93,111.13,1,1,1,2,2
6,2,3,2,E,1.8,122.47,1,1,1,2,2
6,2,2,2,C,1.73,70.31,1,1,1,2,2
6,1,3,2,E,1.63,57.15,1,1,1,2,2
3,2,1,2,E,1.63,56.7,1,1,1,2,1
