q1,q2,q3,q6,q7,q66,q80,q84
3,1,1,1.65,81.65,2,6,1
4,2,1,,,4,4,3
5,2,3,1.68,74.84,4,8,2
6,1,2,,,3,8,3
3,2,1,1.85,56.7,3,6,3
5,2,1,1.8,72.58,3,8,
6,2,3,1.83,74.84,3,8,3
4,1,1,1.52,73.48,4,6,2
4,2,1,1.65,61.24,3,6,3
6,1,3,1.63,53.07,3,6,1
5,2,2,1.7,63.5,3,1,1
4,1,1,1.57,72.12,4,6,1
4,2,1,1.68,65.77,3,6,1
7,1,3,1.63,136.08,5,6,1
4,2,2,1.75,73.94,3,7,1
3,1,1,1.68,97.52,5,8,4
4,2,1,1.88,122.47,4,8,1
7,2,3,1.93,68.04,3,3,3
5,1,3,1.65,49.9,3,6,3
5,1,1,1.52,52.16,4,2,3
5,2,3,,,4,4,3
5,2,2,1.9,131.54,5,7,3
7,2,4,1.73,95.26,4,7,2
5,1,3,1.8,83.01,4,8,1
6,1,3,1.63,59.88,3,6,2
5,1,2,1.65,68.04,2,6,4
6,1,4,1.6,47.17,2,6,5
6,1,3,1.75,74.84,3,5,1
5,2,2,1.83,83.92,3,8,3
7,1,4,1.78,74.84,4,8,3
6,2,3,1.75,63.5,2,8,2
5,1,3,1.6,70.31,3,8,2
5,2,2,1.78,79.38,3,6,1
7,2,4,1.85,63.5,2,4,4
6,1,3,1.65,62.6,3,6,5
4,2,2,1.9,69.85,3,6,2
6,1,4,1.63,53.07,3,6,3
7,2,3,1.93,111.13,5,6,1
6,2,3,1.8,122.47,4,6,2
6,2,2,1.73,70.31,5,6,1
6,1,3,1.63,57.15,4,8,2
3,2,1,1.63,56.7,3,6,1
5,1,1,1.45,44.45,2,6,4
5,1,3,1.57,73.48,3,8,3
6,2,2,1.7,79.38,5,1,5
6,2,3,1.75,83.92,3,6,2
6,1,3,1.57,54.89,3,4,5
5,1,1,1.65,70.76,3,1,4
3,1,1,1.52,49.9,3,8,4
6,1,3,1.65,56.7,1,7,4
4,1,1,1.63,53.52,3,8,1
4,2,1,1.75,72.58,3,1,3
6,1,3,1.65,99.79,4,8,1
7,2,4,1.9,77.11,3,7,2
7,2,4,1.83,80.74,3,6,2
7,2,3,1.83,86.18,3,5,2
4,1,2,,,1,6,2
6,2,2,1.8,122.47,4,6,2
4,2,1,1.75,61.24,3,4,1
6,1,3,,,4,6,5
3,2,1,1.75,65.77,2,8,2
3,2,1,1.83,111.13,5,7,2
6,2,3,1.78,70.31,3,5,1
4,2,2,1.75,65.77,3,4,3
3,1,1,1.55,40.82,3,8,1
3,1,1,1.63,54.43,3,5,2
6,1,3,1.65,61.24,3,6,3
5,2,2,1.8,86.18,3,6,2
6,1,4,1.65,113.4,5,8,5
6,1,3,1.7,45.36,3,6,2
4,2,2,1.73,61.24,3,6,1
6,1,3,1.68,68.04,3,6,3
6,1,2,1.65,83.92,3,6,1
7,1,3,1.65,79.38,5,1,4
6,1,3,1.7,54.43,1,4,3
6,2,4,1.75,90.72,4,8,
6,1,3,1.65,56.7,2,8,3
4,2,2,1.88,90.72,1,8,1
5,1,3,1.65,58.97,3,5,1
6,2,2,1.83,74.39,2,1,4
5,1,1,1.55,46.72,3,6,2
4,2,1,1.75,58.51,3,8,3
4,2,1,1.83,72.58,4,6,2
5,1,3,1.6,44.45,2,6,4
4,1,2,1.57,81.65,4,1,5
4,2,1,1.83,89.81,5,4,4
4,1,1,,,3,4,4
7,1,4,,,4,1,1
3,2,1,1.8,70.31,3,6,3
4,2,1,1.73,61.69,3,8,3
4,1,2,1.68,113.4,4,8,3
5,1,2,1.63,74.84,3,6,1
3,2,1,1.73,62.6,2,8,2
7,2,4,1.68,71.67,3,8,2
5,2,2,1.65,54.43,3,6,1
4,2,1,1.6,67.59,3,5,2
4,1,1,,,3,7,4
5,1,3,1.65,54.43,3,8,1
6,1,2,1.57,63.5,3,6,3
6,2,3,1.78,83.92,4,7,4
7,2,4,1.73,70.31,,,
5,1,2,1.63,72.58,4,8,1
6,2,3,1.78,66.68,3,8,4
5,2,3,1.78,72.58,2,8,1
4,2,2,1.85,78.02,2,5,1
6,2,3,1.88,74.84,3,8,4
5,1,3,1.55,50.8,2,6,5
6,2,5,1.88,108.86,3,6,2
6,1,3,1.65,56.7,3,6,3
6,2,3,1.73,79.38,3,8,2
5,2,3,1.78,72.58,2,8,3
6,2,3,1.83,79.38,3,2,4
5,1,3,1.63,58.97,3,8,3
4,1,2,1.6,53.07,3,8,3
4,1,1,1.6,66.23,3,2,4
4,1,2,1.68,62.14,2,8,5
6,2,3,1.9,83.92,3,2,5
5,2,3,1.85,89.81,3,6,2
5,2,2,1.75,97.52,3,8,3
3,1,1,1.5,54.43,3,8,3
4,1,1,1.65,72.58,3,7,4
4,2,1,1.78,54.89,2,6,2
6,1,2,1.57,63.5,3,6,3
4,2,1,1.85,77.11,3,5,3
4,1,1,1.63,62.6,3,8,5
4,1,2,1.63,68.04,3,5,5
5,1,1,1.7,83.92,4,1,3
4,1,1,1.65,88.91,4,8,5
6,1,2,1.52,78.93,3,8,5
4,2,1,1.78,49.9,2,5,1
4,1,1,1.68,54.89,3,8,3
7,2,2,1.88,90.72,3,7,1
7,2,3,1.93,97.52,3,6,1
5,1,3,1.57,71.22,3,6,5
4,1,2,1.68,66.23,4,6,2
5,2,2,1.85,64.86,2,8,1
6,2,3,1.75,68.04,3,6,2
6,1,3,1.55,68.04,4,6,4
6,2,2,1.85,70.31,2,8,1
7,2,4,1.9,77.11,3,6,4
6,1,3,1.6,48.54,1,8,4
6,2,3,,,1,8,1
5,2,2,1.88,83.92,3,8,3
6,2,4,1.83,99.79,4,6,3
5,1,3,,,1,1,1
6,2,3,1.85,104.33,4,4,2
5,2,2,1.7,68.04,1,1,1
6,2,3,1.93,68.04,3,8,1
6,2,3,1.85,56.7,2,8,4
5,2,2,1.73,60.33,3,8,1
6,2,4,1.8,68.04,2,6,2
6,1,3,1.65,54.43,3,6,3
6,2,3,1.83,97.07,4,2,1
4,2,2,1.8,68.04,2,6,
6,1,3,1.6,56.7,3,7,1
6,2,3,1.93,111.13,3,4,1
6,2,3,1.88,99.79,3,6,2
5,1,2,1.5,40.82,4,6,4
5,2,3,1.8,61.24,3,8,2
7,1,3,1.68,97.98,4,8,2
6,1,3,1.5,33.11,2,8,5
4,2,1,1.78,75.3,5,6,1
6,2,3,1.78,64.86,1,3,3
6,1,3,1.57,86.18,4,6,2
4,1,2,1.57,60.78,3,4,3
3,1,1,1.65,82.56,3,4,3
4,1,1,1.6,70.76,3,8,3
6,1,3,1.7,131.54,5,8,4
6,2,3,1.88,70.76,2,8,1
6,1,2,1.7,127.01,4,6,4
3,2,1,1.78,107.96,,,
6,2,2,1.73,63.5,3,8,5
4,1,2,,,5,8,4
4,2,1,1.93,73.03,2,8,2
,2,,,,,1,2
7,2,3,1.83,75.3,2,1,1
4,1,2,1.7,79.83,4,6,2
4,1,1,1.6,104.33,5,8,4
6,1,3,1.6,68.95,3,8,3
6,1,3,1.5,66.23,4,8,3
6,2,3,1.7,88.45,3,8,1
5,1,1,,,3,8,1
4,1,1,1.68,53.52,2,6,2
5,1,2,,,5,8,3
6,2,3,1.8,63.5,3,6,1
4,2,1,1.83,88.91,3,6,2
6,2,3,1.93,90.27,4,6,1
6,2,3,1.78,77.11,2,8,4
5,1,2,1.6,56.7,3,6,4
4,1,1,1.5,50.35,2,7,1
6,1,3,1.68,58.97,2,5,5
6,1,3,1.45,54.43,3,8,5
5,1,2,1.63,47.17,2,8,4
5,2,2,1.68,64.41,3,6,3
5,2,3,1.83,92.99,3,,1
5,1,2,1.5,52.62,3,8,1
4,1,1,1.75,61.24,3,8,1
5,2,2,1.85,172.37,5,8,3
6,2,3,1.83,55.79,4,6,2
4,1,2,1.6,70.76,3,2,4
6,1,3,,,3,4,1
3,1,1,1.6,76.2,4,8,4
5,1,2,1.68,68.04,2,3,1
4,1,1,1.55,52.16,3,6,4
5,2,2,1.68,97.52,4,8,2
3,1,1,1.57,79.38,5,8,4
6,2,3,1.73,84.37,4,1,3
5,1,2,1.63,77.11,4,8,3
3,1,1,1.73,50.8,3,6,3
5,1,2,,,,,
5,2,3,1.73,68.04,3,8,4
4,2,1,1.75,111.13,3,8,1
5,2,2,1.85,102.06,4,6,4
4,2,1,1.73,59.88,3,8,2
5,2,3,1.7,68.49,4,4,2
6,1,3,1.6,86.18,,,
6,2,2,,,1,1,
4,1,1,1.55,58.97,3,6,3
6,2,3,1.75,56.7,2,6,4
6,1,3,1.63,86.18,5,6,5
5,2,2,1.85,86.64,3,5,3
4,1,1,1.68,58.97,3,8,3
7,1,3,1.65,117.94,4,6,3
5,2,3,1.8,73.94,3,2,3
